fish_id,Trial,Genotype,Dist_travelled_total.x,Dist_travelled_mean.x,Dist_travelled_var.x,Velocity_mean.x,Velocity_var.x,Time_moving_total.x,Freq_moving.x,Acceleration_max.x,Acceleration_min.x,Acceleration_var.x,Freq_in_middle.x,Time_in_middle_total.x,Time_in_middle_mean.x,Time_in_middle_var.x,Dist_to_middle_total.x,Dist_to_middle_mean.x,Dist_to_middle_var.x,Mobility_total.x,Mobility_mean.x,Mobility_var.x,Meander_total.x,Meander_mean.x,Meander_var.x,Heading_mean.x,Heading_var.x,Dist_travelled_total.y,Dist_travelled_mean.y,Dist_travelled_var.y,Velocity_mean.y,Velocity_var.y,Time_moving_total.y,Freq_moving.y,Acceleration_max.y,Acceleration_min.y,Acceleration_var.y,Freq_in_middle.y,Time_in_middle_total.y,Time_in_middle_mean.y,Time_in_middle_var.y,Dist_to_middle_total.y,Dist_to_middle_mean.y,Dist_to_middle_var.y,Mobility_total.y,Mobility_mean.y,Mobility_var.y,Meander_total.y,Meander_mean.y,Meander_var.y,Heading_mean.y,Heading_var.y
31.2-6.10,5,wt,0.8424999999999999,5.616666666666667e-4,1.17581e-4,0.014041666666666668,0.073488,0,0,46.56966666666667,-46.56966666666667,92.60000000000001,0,0,0,0,5016.546666666666,3.34661,0.0040239866666666665,50.52266666666667,0.033682,0.5098666666666667,0,0,0,57.85933333333333,1080.0433333333333,149.4915,0.09972555,0.0466665,2.49314,29.16655,32.36,28.5,972.3924999999999,-829.9259999999999,19393.8,3,15.200000000000001,5.0666649999999995,63.4744665,2837.29,1.8922850000000002,1.2286415000000002,11094.75,7.4015450000000005,260.8375,8697.195,46.417699999999996,7763.0599999999995,141.169,2966.645
31.2-6.10,8,wt,84.2201,0.0561467,0.0543497,1.40367,33.9685,11.16,8,2040.18,-1030.16,16971.3,2,1.48,0.74,0.7688,4137.75,2.7585,0.88198,5831.34,3.88756,201.837,3380.19,43.8986,14246.4,121.655,2805.2,210.5565,0.140371,0.06268105,3.50928,39.175650000000005,45.379999999999995,26.5,903.544,-878.323,27285.45,2.5,4.16,1.7600000000000002,1.7551999999999999,3890.535,2.59369,1.0874985,15688.8,10.4592,346.072,13727.9,54.7483,10272.425,110.24785,3211.04
31.2-6.10,11,wt,40.2131,0.026808733333333334,0.01197177,0.6702186666666666,7.48234,9.120000000000001,15.333333333333334,648.005,-587.638,4552.34,2.6666666666666665,11.52,7.382666666666667,4.467833333333333,2303.733333333333,1.5358233333333333,1.3221833333333333,2907.69,1.93846,70.77023333333332,1745.2033333333334,43.4231,3044.8966666666665,112.60766666666666,2491.81,101.05036666666666,0.06739336666666666,0.028207733333333332,1.6848333333333334,17.629866666666665,26.24,37.666666666666664,1018.3256666666666,-723.7909999999999,12955.3,3.3333333333333335,9.453333333333333,2.75,6.644756666666666,3080.8933333333334,2.05434,1.5306266666666668,7505.013333333333,5.00535,178.52033333333333,5425.85,52.6349,9998.266666666666,90.9335,2904.4133333333334
32.2-6.10,2,het,10.611046666666667,0.0070740333333333336,0.004091765333333333,0.17685113333333333,2.557355,1.4666666666666668,3,407.63800000000003,-373.43399999999997,1549.8276666666668,0,0,0,0,2378.2766666666666,1.5855166666666667,0.6650656666666667,661.3853333333334,0.44092133333333333,18.36667,132.81626666666668,27.02283333333333,335.48466666666667,68.28683333333333,2327.3333333333335,71.20626666666666,0.0474897,0.023455900000000002,1.1872433333333334,14.659933333333333,16.373333333333335,28.666666666666668,789.137,-555.0973333333334,10279.683333333334,4,20.08,5.06311,20.041586666666667,1695.4686666666666,1.130453,1.1704073333333334,5181.46,3.45566,139.14766666666665,5468.6900000000005,77.20309999999999,30155.423333333332,92.22603333333333,2991.84
32.2-6.10,5,het,12.66459,0.00845508,0.0035333033333333334,0.211377,2.2083166666666667,1.2666666666666666,2.6666666666666665,492.06166666666667,-507.13166666666666,1766.4166666666667,0.3333333333333333,2.3333333333333335,2.3333333333333335,0,2362.52,1.5757586666666668,0.4273876,896.5889999999999,0.5985683333333334,22.4617,400.8376666666667,45.3846,2782.6696666666667,48.63376,1660.9733333333334,56.6942,0.03782446666666667,0.019680566666666666,0.9456116666666666,12.300326666666667,10.373333333333333,16.666666666666668,747.5806666666666,-807.6803333333334,8218.186666666666,3,13.866666666666667,8.654223333333334,2.486736666666667,2383.1466666666665,1.5893433333333333,1.3680666666666665,3995.5966666666664,2.66574,107.4616,4246.68,75.14126666666667,24611.38333333333,110.63643333333333,2933.7833333333333
32.2-6.10,8,het,0.5609310000000001,3.7395433333333334e-4,7.85225e-5,0.009348863333333332,0.04907653333333333,0,0,91.25366666666666,-91.25366666666666,61.60293333333333,0,0,0,0,3838.3633333333332,2.55891,0.005323046666666667,12.690103333333333,0.008460066666666667,0.051397000000000005,0,0,0,60.10256666666667,930.4033333333333,20.4666,0.0136532,0.008610445,0.34133,5.381545,1.82,3,782.4485,-579.8155,3449.83,2,22.740000000000002,11.370000000000001,1.3428,1753.6785,1.1691494999999998,0.5808044,1229.315,0.820085,32.4255,1199.647,74.2868,24751.462,61.767799999999994,2439.355
32.2-6.10,11,het,2.582195,0.0017214650000000001,7.91585e-4,0.0430366,0.49474199999999996,0.3,0.5,304.752,-295.8885,327.4465,0,0,0,0,3197.195,2.13146,0.1273274,152.2834,0.10152225000000001,4.765165,26.6769,8.8923,27.3053,53.952999999999996,2338.7349999999997,50.04505,0.03338925,0.013378600000000001,0.834731,8.36161,6.62,13.5,615.7885,-616.5235,7000.93,3.5,35.3,9.696665,109.44345,1253.7105,0.83583155,0.94018175,3499.1549999999997,2.33465,69.9788,1915.135,39.678200000000004,7641.965,67.7625,3062.045
33.2-6.10,2,het,3.33078,0.00222052,0.001124757,0.055513049999999994,0.7029725,0.74,1.5,426.6745,-426.6745,775.4665,0,0,0,0,2385.455,1.5903049999999999,0.016870444999999998,185.36849999999998,0.12357889999999999,4.12332,176.74715,176.74715,0,101.74125000000001,3159.13,36.336299999999994,0.0242442,0.016859540000000003,0.606104,10.537213333333334,4.92,6.333333333333333,1098.952,-932.0876666666667,5471.76,2.3333333333333335,28.293333333333333,11.775566666666666,241.86293333333333,1031.6433333333334,0.687945,0.8111286666666667,2531.09,1.688728,73.4721,1489.7983333333332,39.270833333333336,3663.7533333333336,86.72386666666667,2721.983333333333
33.2-6.10,5,het,11.636804999999999,0.007778719999999999,0.002333643,0.19446875,1.458528,1.56,2,289.422,-289.422,1513.2775,0,0,0,0,4267.855,2.84811,7.670905e-4,665.4480000000001,0.444803,7.98507,3933.68,280.977,3699.95,69.2283,3187.19,36.0222,0.024028333333333336,0.01276086,0.600708,7.97555,6.306666666666667,9.333333333333334,818.444,-611.0973333333334,5131.526666666667,3.6666666666666665,27.973333333333333,9.19143,39.447633333333336,1184.947,0.7900016333333333,0.9217361333333333,2709.5733333333333,1.8075666666666668,77.3232,1639.9233333333332,48.589733333333335,9438.010333333334,100.0032,2697.9133333333334
33.2-6.10,8,het,0.7131959999999999,4.7546466666666663e-4,1.1693716666666667e-4,0.01188663,0.0730856,0,0,158.55266666666665,-158.55266666666665,91.60566666666666,0,0,0,0,912.1163333333334,0.6080786666666667,0.1156431087,22.100683333333333,0.014733776666666667,0.17418582333333335,0,0,0,85.20993333333334,757.1604666666666,28.002966666666666,0.018677933333333334,0.010440856666666666,0.466948,6.5255133333333335,5.226666666666667,10,927.636,-598.2453333333333,4466.806666666666,1.3333333333333333,13.533333333333333,6.766666666666667,83.39966666666668,2505.79,1.6707633333333334,0.858472,2119.9666666666667,1.4140700000000002,66.368,742.047,30.787833333333335,1122.7553333333333,58.33753333333333,2970.293333333333
