fish_id,Genotype,Position,Tray,Trial,Time,Bin,Dist_travelled_total,Dist_travelled_mean,Dist_travelled_var,Velocity_mean,Velocity_var,Time_moving_total,Freq_moving,Acceleration_max,Acceleration_min,Acceleration_var,Freq_in_middle,Time_in_middle_total,Time_in_middle_mean,Time_in_middle_var,Dist_to_middle_total,Dist_to_middle_mean,Dist_to_middle_var,Mobility_total,Mobility_mean,Mobility_var,Meander_total,Meander_mean,Meander_var,Heading_mean,Heading_var
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,6,97.2192,0.0648993,0.0333989,1.62248,20.8743,22.72,37,697.539,-579.689,13181,5,12.96,2.592,3.65872,1771.29,1.18164,0.93039,8058.82,5.37972,240.958,6452.42,63.2591,13399.7,171.667,3117.43
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,7,108.777,0.0725182,0.0404665,1.81296,25.2916,29.28,46,922.088,-703.773,15753.5,6,14.68,2.44667,3.41467,1885.56,1.25704,1.21074,8221.96,5.48131,239.091,9504.17,86.4016,29824,78.5647,3077.94
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,8,90.7958,0.0605305,0.0323034,1.51326,20.1896,23.64,42,713.409,-561.666,12132.2,3,11.32,3.77333,6.82453,2421.16,1.61411,1.29405,6579.42,4.38628,180.546,6811.95,71.7048,32436,79.5401,2877.02
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,10,17.4001,0.0116001,0.00977989,0.290001,6.11243,3.12,6,1503.78,-1159.97,3837.91,0,0,0,0,4365.68,2.91045,0.0115085,963.901,0.6426,23.7691,1416.05,94.403,22011.6,169.058,1745.45
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,12,3.15003,0.00210002,4.74189e-4,0.0525004,0.296368,0,0,180.766,-180.766,373.908,0,0,0,0,4201.31,2.80087,0.00268093,135.106,0.0900705,1.41583,0,0,0,64.6083,3039.67
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,13,7.54588,0.00503731,0.00136377,0.125933,0.852356,0.88,1,249.132,-263.218,913.104,0,0,0,0,4183.2,2.79066,0.00471006,487.627,0.325519,6.44639,2156.19,539.048,48095.8,142.868,2824.07
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,0,2.82422,0.00189164,4.49088e-4,0.047291,0.28068,0,0,187.047,-187.047,354.122,0,0,0,0,4844.12,3.23805,0.00433084,252.872,0.169371,4.46318,0,0,0,54.8696,2742.8
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,1,10.0836,0.00672241,0.00207023,0.16806,1.29389,0,0,274.047,-274.047,1652.69,0,0,0,0,4817.66,3.21177,0.0115459,940.947,0.627298,20.7845,0,0,0,92.6418,3247.15
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,2,59.3706,0.0395804,0.0512394,0.98951,32.0246,7.48,7,2417.78,-2265.87,21869.4,1,0.32,0.32,0,4762.99,3.17533,0.179648,4235.94,2.82396,163.197,2388.14,46.8263,7418.04,100.586,2760.64
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,3,0.210307,1.40392e-4,2.95255e-5,0.0035098,0.0184534,0,0,131.442,-131.442,23.0976,0,0,0,0,4749.12,3.16819,0.00457211,4.78469,0.00319405,0.0152825,0,0,0,105.823,0
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,6,81.5656,0.0545225,0.0255865,1.36306,15.9915,21.8,38,764.949,-513.096,11149.3,8,28.8,3.6,2.68617,805.696,0.537848,0.531962,6882.62,4.60068,191.252,4663.5,52.3989,8926.09,171.744,3089.23
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,7,77.7178,0.0518119,0.0235356,1.2953,14.7098,18.4,31,481.061,-516.203,9415.61,3,7.28,2.42667,1.64053,2819.89,1.87992,1.18047,6081.01,4.05401,162.853,5201.51,59.7875,16822.7,44.7978,3057.11
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,8,83.96,0.0559734,0.0254933,1.39933,15.9333,20.48,37,704.574,-509.071,9818.22,4,18.32,4.58,38.9392,1788.03,1.19202,1.10518,6477.43,4.31829,169.916,5749.14,58.6647,16997.1,10.6854,2932.67
4.2-6.10,wt,A4,5,4,1899-12-31T08:12:00Z,9,64.3012,0.0428675,0.0194851,1.07169,12.1782,14.16,24,779.745,-549.413,7789.93,3,11.12,3.70667,2.50613,2034.29,1.35619,1.18394,4936.35,3.2909,133.681,2993.34,40.4506,10491.9,178.116,3017.26
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,1,55.5923,0.0371358,0.0285539,0.928394,17.8462,9.92,8,1505.94,-936.97,7084.28,3,9.28,3.09333,20.8517,3096.28,2.0669400000000002,0.919704,4133.16,2.76096,128.604,1639.8,22.4631,1405.97,15.0508,3135.08
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,2,1.33338,8.88917e-4,1.99936e-4,0.0222229,0.12496,0,0,171.925,-171.925,156.818,0,0,0,0,3663.59,2.44239,8.2565e-4,51.622,0.0344147,0.371055,0,0,0,75.1149,3100.91
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,3,16.6759,0.0111172,0.00561652,0.277931,3.51032,4.64,4,825.012,-686.03,3044.76,0,0,0,0,3948.87,2.63258,0.0705686,1504.32,1.00288,48.6673,2518.46,209.872,60036.9,126.168,2271.71
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812.48,2.54165,0,0,0,0,0,0,0,0,0
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,5,86.5915,0.0578047,0.03653,1.44512,22.8313,18.8,31,1068.29,-766.29,14030.4,7,33.08,4.72571,46.0269,965.86,0.644336,1.02173,7107.07,4.74437,239.958,4157.28,46.711,5655.82,7.82541,2807.31
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,6,173.046,0.115364,0.0731706,2.88411,45.7316,33.56,38,1414.38,-900.131,26421.5,6,11.04,1.84,4.77888,3249.79,2.16653,1.70514,12640.3,8.42684,369.978,6127.98,33.3042,5194.4,146.319,3157.88
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,7,191.553,0.127702,0.0794987,3.19256,49.6867,36.04,33,1449.77,-1184.86,30736.5,3,5.64,1.88,1.3104,3902.26,2.60151,1.17413,13070.4,8.71361,339.622,7094.2,35.8293,7576.58,80.8016,3051.49
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,8,144.899,0.0967284,0.048223,2.41821,30.1394,29.52,30,1522.73,-1241,17422.6,1,0.36,0.36,0,4157.25,2.77335,0.50222,9776.16,6.52614,205.742,10592.7,56.3441,16052.3,9.14369,3201.63
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,9,169.111,0.112741,0.0755181,2.81852,47.1988,26.52,12,1346.76,-832.59,23990.2,4,8.2,2.05,10.3855,3791.06,2.52737,1.36482,11635.3,7.75689,316.516,9551.2,47.2832,10362.4,152.799,3067.96
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,10,76.7841,0.0511894,0.0395057,1.27973,24.6911,12.4,10,2699.16,-1842.09,16255.8,1,1.4,1.4,0,4410.81,2.94054,0.356554,4600.36,3.06691,105.557,4958.8,62.7697,20851.6,115.727,2741.31
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,13,1.32536,8.83575e-4,1.95746e-4,0.0220894,0.122341,0,0,157.747,-157.747,153.537,0,0,0,0,4366.13,2.91075,5.68468e-4,46.0236,0.0306824,0.291827,0,0,0,43.47,3202.38
4.2-6.10,wt,A4,5,7,1899-12-31T09:03:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362.12,2.90808,0,0,0,0,0,0,0,0,0
4.2-6.10,wt,A4,5,10,1899-12-31T10:41:00Z,0,1.25684,8.42954e-4,2.1264e-4,0.0210738,0.1329,0,0,166.334,-166.334,166.904,0,0,0,0,4524.49,3.02844,0.00338083,150.322,0.10082,3.13412,0,0,0,72.8582,2713.26
4.2-6.10,wt,A4,5,10,1899-12-31T10:41:00Z,1,0.670038,4.46692e-4,1.00004e-4,0.0111673,0.0625023,0,0,145.959,-145.959,78.2838,0,0,0,0,4645.03,3.09669,0.00380666,104.543,0.0696953,2.60139,0,0,0,82.3358,2325.42
4.2-6.10,wt,A4,5,10,1899-12-31T10:41:00Z,2,55.0073,0.0366715,0.0354011,0.916788,22.1257,7.16,4,1550.49,-1584.76,14332.8,1,0.36,0.36,0,4332.88,2.88859,0.208642,4316.78,2.87785,175.039,4879.84,103.826,37125.2,38.883,2698.71
4.2-6.10,wt,A4,5,10,1899-12-31T10:41:00Z,4,50.2181,0.0334787,0.0448389,0.836969,28.0243,5.92,7,2071.53,-1359.23,16458.1,1,0.32,0.32,0,5022.17,3.34811,0.126984,3191.52,2.12768,114.305,6065.22,144.41,65984.7,6.13226,2296.34
4.2-6.10,wt,A4,5,10,1899-12-31T10:41:00Z,6,239.466,0.159857,0.105485,3.99643,65.928,47.36,31,1388.65,-1657.31,38352.3,6,5.96,0.993333,0.358027,3439.64,2.29462,1.411,17062.4,11.3901,467.472,9480.35,38.538,5092.08,95.1147,3089.71
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,0,1.30176,8.80755e-4,1.9118e-4,0.0220189,0.119487,0,0,144.4,-144.4,150.271,0,0,0,0,4108.16,2.77204,0.00266168,170.7,0.115494,3.49998,0,0,0,98.0929,3049.1
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4146.86,2.76458,0,0,0,0,0,0,0,0,0
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4146.86,2.76458,0,0,0,0,0,0,0,0,0
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,3,1.07118,7.14122e-4,1.53125e-4,0.0178531,0.0957031,0,0,147.405,-147.405,120.028,0,0,0,0,4232,2.82133,0.00487203,67.372,0.0449147,0.665126,0,0,0,64.4979,2676.76
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4332.62,2.88842,3.15502e-14,0,0,0,0,0,0,0,0
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,5,102.437,0.068291,0.0582535,1.70728,36.4084,17.8,21,1561.08,-1166.71,21468.8,5,10.96,2.192,2.65792,2411.56,1.6077,1.33308,6924.71,4.61647,232.625,5197.18,55.2891,19293,107.34,2802.93
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,6,130.373,0.0870312,0.0529762,2.17578,33.1102,23.44,23,1247.19,-805.5,19559.7,4,23.64,5.91,68.4036,2082.46,1.38923,2.00566,8611.66,5.74877,230.461,6354.27,46.3815,12842.2,76.8623,3168.78
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,7,184.778,0.123186,0.0721575,3.07964,45.0984,33.48,26,1058.86,-642.149,22290.7,8,20.08,2.51,2.91554,1833.16,1.2221,1.62674,12017.5,8.01163,300.441,4228.36,19.9451,1192.63,135.638,3091.55
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,8,184.44,0.12296,0.0704363,3.07401,44.0227,29.28,15,1671.07,-1426.61,23418.5,3,18.4,6.13333,97.2821,2883.62,1.92241,2.10557,12710,8.47334,295.303,11621.3,52.824,13084.5,14.8236,3018.21
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,9,250.561,0.167264,0.0715013,4.18159,44.6883,41.56,20,1266.14,-801.151,24175.3,6,1.44,0.24,0.02112,4375.34,2.91884,0.675462,16427,10.966,296.262,16129.8,44.3125,10442.9,137.157,3202.37
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,10,180.17,0.120113,0.0811225,3.00283,50.7015,26.84,6,1560.32,-1019.34,29705.5,0,0,0,0,5191.01,3.46067,0.0799015,11792.1,7.86139,296.732,13428.8,62.4596,14383.9,21.4201,2879.37
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5230.49,3.48932,9.30086e-4,0,0,0,0,0,0,0,0
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292.28,3.52819,1.91728e-13,0,0,0,0,0,0,0,0
5.2-6.10,hom,A5,5,1,1899-12-31T07:00:00Z,13,0.629293,4.20089e-4,8.80071e-5,0.0105022,0.0550045,0,0,132.506,-132.506,68.9396,0,0,0,0,5341.89,3.56363,5.95441e-4,45.0448,0.03007,0.486177,0,0,0,68.0816,2183.17
