fish_id,Genotype,Trial,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
2.4-7.10,hom,4,28.966133333333335,0.4831663333333333,5.04096,4.946666666666667,7.333333333333333,417.179,-210.43266666666668,1.6666666666666667,4.786666666666667,2.00908,0.6470706666666834,54.4314,1.3414933333333334
2.4-7.10,hom,8,99.50086666666667,1.658347,19.03653333333333,22.493333333333332,35.333333333333336,881.8583333333333,-652.424,5.333333333333333,14.32,1.4360933333333332,1.6031966666666666,185.10533333333333,4.697806666666667
2.4-7.10,hom,14,21.696463333333334,0.36169793333333333,4.956614999999999,3.48,5.333333333333333,443.733,-289.8426666666667,0,0,2.87589,0.14865120333333331,45.26382666666667,0.9400170999999999
20.4-7.10,wt,1,152.09166666666667,2.53486,33.221266666666665,33.93333333333334,38,1386.7826666666665,-1216.14,2.3333333333333335,4.573333333333333,2.3290766666666665,1.2812533333333334,223.31166666666667,6.32736
20.4-7.10,wt,5,35.461396666666666,0.5911243333333334,6.086320000000001,7.92,11.666666666666666,457.967,-494.69800000000004,3,26.52,0.5451906666666666,0.506096,51.330466666666666,1.4728023333333333
20.4-7.10,wt,9,1.309254,0.021837733333333335,0.12018746666666667,0,0,148.56466666666665,-149.25966666666667,0,0,1.9906233333333334,0.0382944,0.3705563,0.03069365
20.4-7.10,wt,15,30.438996666666668,0.5073168333333333,4.764036333333333,5.693333333333333,10,478.4736666666667,-360.901,3.6666666666666665,20.88,0.41264233333333333,0.31816876666666666,38.13163333333333,1.18819
21.4-7.10,wt,1,0.879216,0.014653590000000001,0.08094976666666667,0,0,151.64233333333334,-151.64233333333334,0,0,2.5439633333333336,2.9784836666666667e-4,0.08773103333333333,0.014434546666666666
21.4-7.10,wt,5,8.037749999999999,0.13424646666666668,0.8497956666666666,1.2533333333333334,1.3333333333333333,216.33833333333334,-209.42133333333334,0,0,3.45764,0.005218996333333333,2.7021686666666667,0.21610663333333333
21.4-7.10,wt,9,20.80439,0.346856,2.8154536666666665,3.626666666666667,4.333333333333333,296.668,-352.01233333333334,0.3333333333333333,2.8533333333333335,2.6339566666666667,0.6148110999999999,22.335273333333333,0.7678143333333334
21.4-7.10,wt,15,10.575103333333333,0.176252,1.6655703333333334,1.0133333333333334,1.6666666666666667,515.057,-379.8516666666667,2.6666666666666665,15.306666666666668,0.5749803333333333,0.20470906666666666,6.565246666666666,0.28362133333333334
22.4-7.10,het,1,4.785073333333333,0.0797512,0.4345016666666667,0,0,162.67566666666667,-159.27766666666668,0,0,3.0811333333333333,0.012691285,0.8056326666666667,0.09856583333333332
22.4-7.10,het,5,216.87533333333332,3.61714,40.713766666666665,47.52,30.666666666666668,977.014,-706.186,2.3333333333333335,3.68,2.78717,1.1325266666666667,280.301,8.745460000000001
22.4-7.10,het,9,25.757466666666666,0.42944366666666667,3.8240966666666667,5.413333333333333,7.666666666666667,452.283,-390.1256666666667,0.3333333333333333,1.0266666666666666,2.9402399999999997,0.2958769666666667,36.786433333333335,1.0494543333333333
22.4-7.10,het,15,53.510333333333335,0.89184,10.646566666666667,11.733333333333334,14.333333333333334,752.779,-734.1053333333333,1,2.7733333333333334,2.4150566666666666,0.9226183333333333,86.6614,2.2288026666666667
23.4-7.10,het,1,5.78558,0.0964263,0.5569696666666667,0.16,0.3333333333333333,206.34733333333332,-187.22799999999998,0,0,1.3123646666666666,0.11671629666666666,1.732369,0.13965953333333334
23.4-7.10,het,5,3.267654,0.05452856666666667,0.6266236,0.18666666666666668,0.3333333333333333,460.245,-372.05566666666664,0,0,3.3676733333333333,0.010321956,5.2879950000000004,0.14666883333333333
23.4-7.10,het,9,7.12966,0.11890453333333334,1.8431493333333333,1.1333333333333333,1.6666666666666667,635.4206666666666,-437.79566666666665,0,0,2.8987266666666667,0.010802716666666667,14.281143333333333,0.285784
23.4-7.10,het,15,35.4653,0.5910876666666667,4.0310033333333335,8.1466666666666665,8.333333333333334,365.606,-396.30466666666666,0,0,2.84525,0.03677222333333333,63.31556666666667,2.199327666666667
24.4-7.10,het,1,35.586240000000004,0.5931053366666666,6.98285,7.573333333333333,11.333333333333334,618.3763333333333,-445.8206666666667,1.3333333333333333,7.546666666666667,2.14628,0.9451094078666666,65.7101532,1.6093490666666666
24.4-7.10,het,5,20.499079000000002,0.3425332333333333,4.422283533333333,4,6,318.553,-269.14366666666666,0.3333333333333333,0.6533333333333333,2.0365466666666667,0.119534713,39.205815666666666,0.9082005333333334
24.4-7.10,het,9,24.60953333333333,0.41026233333333334,4.943993333333333,4.093333333333334,6.666666666666667,670.5723333333333,-444.38666666666666,1,6.413333333333334,2.1542666666666666,0.8130836333333333,40.2754,1.010626
24.4-7.10,het,15,123.18533333333333,2.0530833333333334,28.2762,27.88,34.333333333333336,937.2876666666666,-862.0896666666666,1.3333333333333333,3.466666666666667,2.4456366666666667,0.8584993333333333,195.44066666666666,5.338046666666666
25.4-7.10,hom,1,105.18403333333333,1.7530700000000001,15.193333333333333,29.88,45.333333333333336,753.6886666666667,-510.58133333333336,3.6666666666666665,8.333333333333334,1.7781766666666667,1.3040666666666667,151.04566666666668,4.829783333333333
25.4-7.10,hom,5,65.33283333333333,1.089684,8.645016666666667,15.88,28.333333333333332,548.6523333333333,-459.9836666666667,3.3333333333333335,14.96,1.1308643333333332,0.8083923333333334,90.58306666666667,2.9075433333333334
25.4-7.10,hom,9,65.0551,1.0847103333333334,9.258293333333334,17.21333333333333,31,490.8593333333333,-421.2776666666667,4,19.4,1.171685,0.869525,91.8202,2.84635
25.4-7.10,hom,15,104.52936666666666,1.74216,16.340700000000002,27.693333333333335,39.666666666666664,764.5889999999999,-775.8833333333333,4,9.493333333333334,1.55067,1.2045213333333333,129.00833333333333,4.38702
26.4-7.10,wt,1,198.78633333333335,3.31311,51.31166666666667,43.839999999999996,43.333333333333336,1524.9733333333334,-1133.122,1.3333333333333333,1.92,2.9317166666666665,0.7496943333333332,343.7733333333333,9.047956666666666
26.4-7.10,wt,5,15.083813333333334,0.25183733333333336,1.8036783333333333,2.2666666666666666,2,271.1863333333333,-267.2796666666667,0,0,1.6201333333333334,0.10849108666666667,17.106640333333335,0.6226063333333334
26.4-7.10,wt,9,21.551133333333333,0.35928533333333335,2.9364266666666667,2.8666666666666667,4.666666666666667,646.165,-345.3736666666667,0,0,2.579553333333333,0.4240856666666667,13.196516666666666,0.6577453333333333
26.4-7.10,wt,15,22.151216666666667,0.36918696666666667,43.409034999999996,0.29333333333333333,0.3333333333333333,878.5266666666668,-1072.9366666666667,0,0,3.024923333333333,0.18759553333333334,21.658180333333334,0.3207376666666667
27.4-7.10,het,1,82.99886666666667,1.383312,15.312863333333334,20.186666666666667,23,1106.2573333333332,-871.172,2,4.093333333333334,2.39701,1.0225953333333333,122.8699,3.6461053333333333
27.4-7.10,het,5,38.456336666666665,0.6409604,6.241057333333333,8.959999999999999,12.333333333333334,410.199,-271.06100000000004,2.3333333333333335,41.906666666666666,0.7504400000000001,0.6263566666666667,49.81275433333333,1.5632707666666665
27.4-7.10,het,9,90.28776666666667,1.50526,17.48603333333333,20.36,27.333333333333332,701.944,-910.6943333333334,5,13.613333333333333,1.33257,1.08749,139.527,3.86108
27.4-7.10,het,15,121.81909999999999,2.0303233333333335,21.805266666666665,29.759999999999998,32,1114.275,-612.7393333333333,3.6666666666666665,9.16,2.18579,1.5987766666666667,168.504,5.1930266666666665
28.4-7.10,het,1,30.547976666666667,0.5091330666666667,4.586707666666667,6.1066666666666665,7.666666666666667,594.6463333333334,-542.9086666666666,0,0,3.1721766666666666,0.259789,43.539590999999994,1.3673750666666666
28.4-7.10,het,5,15.096753333333334,0.2519033333333333,2.227665,1.8533333333333333,2.3333333333333335,339.3053333333333,-479.3143333333333,0.6666666666666666,11.986666666666666,0.618611,0.4410274,13.746406666666667,0.4879716666666667
28.4-7.10,het,9,48.26531,0.804474,14.798389,7.453333333333333,10.333333333333334,1088.1816666666666,-651.7470000000001,1.3333333333333333,5.8933333333333335,1.2630866666666667,0.6414876666666667,64.15659000000001,1.802785
28.4-7.10,het,15,49.1362,0.8189343333333333,10.9247,8.866666666666667,10,647.9316666666666,-465.958,4,9.266666666666667,1.5151273333333333,0.43688483333333333,66.68785333333334,1.854597
29.4-7.10,het,1,63.574259999999995,1.059572,10.897445333333334,15.906666666666666,26.666666666666668,489.04,-495.6816666666667,3,7.8533333333333335,1.69587,0.6741845533333333,112.94807666666667,2.948592333333333
29.4-7.10,het,5,185.325,3.0910466666666667,35.4221,45.70666666666667,40,792.9046666666667,-669.9646666666666,4.333333333333333,7.76,2.0059033333333334,1.1386406666666666,312.282,8.52127
29.4-7.10,het,9,146.38633333333334,2.4407966666666665,28.7321,35.13333333333333,42.666666666666664,783.851,-667.9706666666666,3.6666666666666665,10.373333333333333,1.6893433333333334,1.248089,264.1153333333333,6.818863333333334
29.4-7.10,het,15,174.088,2.9014633333333335,32.38816666666666,43.973333333333336,40.333333333333336,871.752,-591.64,6.666666666666667,13.48,1.4855566666666666,1.1012733333333333,273.93666666666667,7.77063
3.4-7.10,hom,4,2.874033333333333,0.04790066666666667,0.45637666666666665,0.7866666666666666,1.3333333333333333,123.67766666666667,-109.545,0,0,2.1603666666666665,0.021760591333333332,5.3406666666666665,0.12927166666666667
3.4-7.10,hom,8,2.47526,0.041254266666666664,0.21108566666666667,0,0,135.69833333333332,-135.69833333333332,0,0,1.5880966666666667,0.06486927333333334,0.23227533333333333,0.038081166666666666
3.4-7.10,hom,14,17.77279,0.2962683333333333,7.6007723333333335,1.16,1.3333333333333333,625.8043333333333,-568.3676666666667,0,0,2.66134,0.2578239333333333,55.159733333333335,0.8026353333333333
30.4-7.10,het,1,8.615753333333334,0.14359566666666668,0.92716,0.5466666666666667,1,225.509,-226.32033333333334,0,0,3.19988,0.06846307333333333,7.39953,0.33087133333333335
30.4-7.10,het,5,6.666426666666667,0.11113426666666666,0.7844996666666667,0.38666666666666666,0.6666666666666666,251.30633333333336,-234.189,0,0,1.3342166666666666,0.03256761666666667,3.924488333333333,0.18358433333333335
30.4-7.10,het,9,18.423906666666667,0.3071373333333334,2.69644,3.2,5,517.3589999999999,-448.916,0.6666666666666666,2.466666666666667,2.281163333333333,0.23478475666666668,16.77988,0.6665206666666667
30.4-7.10,het,15,75.88486666666667,1.2647483333333334,12.57972,16.853333333333335,20.666666666666668,504.8446666666667,-502.0946666666667,3.3333333333333335,9.333333333333334,2.029522,0.9101043333333333,105.3454,3.1244533333333333
31.4-7.10,hom,1,26.409103333333334,0.44015166666666666,4.4897833333333335,4.8533333333333335,6.666666666666667,399.86266666666666,-365.27333333333337,1.6666666666666667,26.733333333333334,1.2066958333333333,1.14768321,38.76782,1.0343123333333333
31.4-7.10,hom,5,36.5072,0.6090806666666667,7.440626666666667,7.786666666666667,11.333333333333334,860.2816666666666,-606.1496666666667,1.6666666666666667,29.053333333333335,0.8901996666666667,0.569006,55.845933333333335,1.5447366666666666
31.4-7.10,hom,9,37.41447,0.6236117333333333,7.011900333333333,8.986666666666666,15.333333333333334,555.045,-518.9263333333333,1.6666666666666667,7.826666666666667,1.5888900000000001,0.5483133333333333,62.90080333333333,1.7102030000000001
31.4-7.10,hom,15,145.9174,2.431963333333333,27.679266666666667,33.400000000000006,37.666666666666664,1064.7706666666666,-819.4359999999999,4.333333333333333,9.626666666666667,1.84265,1.1743766666666666,196.05566666666667,5.966966666666667
32.4-7.10,het,2,130.26476666666667,2.1720966666666666,28.11863333333333,30.693333333333335,29,1245.1343333333334,-839.2683333333333,2.3333333333333335,5.2,2.5029166666666667,1.2032016666666667,231.22533333333334,6.084556666666667
32.4-7.10,het,6,144.06423333333333,2.40107,25.9909,34.72,34.333333333333336,928.3199999999999,-663.0953333333334,1.6666666666666667,5.48,2.3950233333333335,1.256125,218.65966666666668,6.475203333333333
32.4-7.10,het,10,70.32716666666667,1.17212,13.027533333333333,17.333333333333336,23.333333333333332,720.1036666666666,-553.5266666666666,4.666666666666667,23.973333333333333,1.2201186666666666,1.2745326666666665,134.64743333333334,3.393746666666667
32.4-7.10,het,16,178.27533333333332,2.9728266666666667,34.73866666666667,39.2,36,1267.1396666666667,-1038.404,4.333333333333333,7.8,1.9945766666666667,1.38754,248.953,7.544976666666667
33.4-7.10,hom,2,7.43685,0.1239761,1.6368276666666666,1.04,2,414.9103333333333,-457.56066666666663,0.6666666666666666,0.6266666666666666,2.0984766666666665,0.2832342666666667,8.969333333333333,0.257246
33.4-7.10,hom,6,8.457681000000001,0.14096146,1.6861920666666668,1.0933333333333333,1.3333333333333333,399.96733333333333,-387.71833333333336,0,0,2.36872,0.0073521742,13.613828,0.35162876666666665
33.4-7.10,hom,10,14.478250000000001,0.241304,1.8686633333333333,1.8666666666666667,3,380.12933333333336,-384.006,0,0,2.9200833333333334,0.07287010000000001,15.385466666666666,0.5629246666666667
33.4-7.10,hom,16,3.6748833333333333,0.06126413333333333,0.417527,0.21333333333333335,0.3333333333333333,210.37266666666667,-143.21233333333333,0,0,1.3152233333333332,0.02148308,1.3261966666666667,0.09071723333333333
