fish_id,Family,Trial,Genotype,Dist_travelled_total,Dist_travelled_mean,Dist_travelled_var,Velocity_mean,Velocity_var,Time_moving_total,Freq_moving,Acceleration_max,Acceleration_min,Acceleration_var,Freq_in_middle,Time_in_middle_total,Time_in_middle_mean,Time_in_middle_var,Dist_to_middle_total,Dist_to_middle_mean,Dist_to_middle_var,Mobility_total,Mobility_mean,Mobility_var,Meander_total,Meander_mean,Meander_var,Heading_mean,Heading_var,Dist_travelled_total.dark,Dist_travelled_mean.dark,Dist_travelled_var.dark,Velocity_mean.dark,Velocity_var.dark,Time_moving_total.dark,Freq_moving.dark,Acceleration_max.dark,Acceleration_min.dark,Acceleration_var.dark,Freq_in_middle.dark,Time_in_middle_total.dark,Time_in_middle_mean.dark,Time_in_middle_var.dark,Dist_to_middle_total.dark,Dist_to_middle_mean.dark,Dist_to_middle_var.dark,Mobility_total.dark,Mobility_mean.dark,Mobility_var.dark,Meander_total.dark,Meander_mean.dark,Meander_var.dark,Heading_mean.dark,Heading_var.dark
30.2-6.10,6.10,11,hom,4.162722,0.0027751464999999998,8.979225e-4,0.06937855,0.5612015,1.12,2,231.537,-281.1345,397.0835,0,0,0,0,4113.795,2.74253,0.02179756,266.5314,0.17768775,4.820875,329.978,190.0891,1318.745,10.30482,2126.085,86.9714,0.0580012,0.029529466666666667,1.4500300000000002,18.455933333333334,20.333333333333332,26.666666666666668,1030.0643333333333,-822.59,11658.539999999999,5,20.253333333333334,3.9744433333333333,8.868366666666667,1789.6789999999999,1.19324,1.1171556666666667,6601.570000000001,4.402666666666667,177.99666666666667,5907.653333333334,59.619,14988.023333333333,106.56643333333334,2965.27
31.2-6.10,6.10,2,wt,18.769366666666667,0.0125129,0.01695354,0.3128226666666667,10.595966666666666,2.106666666666667,1.6666666666666667,947.752,-677.112,5768.400666666667,0.6666666666666666,0.06666666666666667,0.03333333333333333,2.666666666666667e-4,3382.076666666667,2.2547166666666665,0.14362100666666666,1029.9925,0.6866618999999999,34.848655666666666,337.22666666666663,7.025566666666666,324.85766666666666,90.34813333333334,2922.4133333333334,158.83013333333332,0.1059156,0.05873763333333334,2.6478866666666665,36.711,31.599999999999998,29.333333333333332,1080.0553333333332,-1391.4176666666667,22522.566666666666,5.333333333333333,15.64,2.4628563333333333,10.699126666666666,2512.6803333333332,1.6751633333333333,0.819737,11614.773333333333,7.7453433333333335,295.25866666666667,9353.82,48.2477,8197.046666666667,119.42003333333334,3084.7233333333334
31.2-6.10,6.10,5,wt,0.8424999999999999,5.616666666666667e-4,1.17581e-4,0.014041666666666668,0.073488,0,0,46.56966666666667,-46.56966666666667,92.60000000000001,0,0,0,0,5016.546666666666,3.34661,0.0040239866666666665,50.52266666666667,0.033682,0.5098666666666667,0,0,0,57.85933333333333,1080.0433333333333,123.7149,0.08251963333333333,0.03757493333333334,2.0629933333333335,23.484333333333332,27.14666666666667,26,886.1613333333333,-720.1433333333333,15928.436666666666,2.3333333333333335,10.92,4.164443333333333,42.316311,2657.6933333333336,1.7723,1.068905,9411.02,6.277376666666667,227.963,7648.1466666666665,58.9757,10230.84,100.05056666666667,2990.29
31.2-6.10,6.10,8,wt,178.67503333333335,0.1191169,0.06866683333333333,2.97792,42.91676666666667,31.773333333333333,10,1812.5433333333333,-1292.9066666666668,23863.566666666666,2.3333333333333335,11.16,3.96889,81.045,3907.0933333333332,2.6047266666666666,1.562732,13120.113333333335,8.746753333333334,326.08433333333335,7692.25,37.72436666666667,7668.326666666667,100.41159999999999,3023.733333333333,185.244,0.12353603333333334,0.05806166666666667,3.0884033333333334,36.28853333333333,39.61333333333333,28,952.446,-803.2963333333333,24025.9,4.666666666666667,7.573333333333333,1.7066666666666668,1.7297333333333333,3362.65,2.2421100000000003,1.1215423333333332,13853.6,9.238763333333333,326.1453333333333,11411.283333333333,51.5612,10177.366666666667,89.44626666666666,3138.3166666666666
31.2-6.10,6.10,11,wt,40.2131,0.026808733333333334,0.01197177,0.6702186666666666,7.48234,9.120000000000001,15.333333333333334,648.005,-587.638,4552.34,2.6666666666666665,11.52,7.382666666666667,4.467833333333333,2303.733333333333,1.5358233333333333,1.3221833333333333,2907.69,1.93846,70.77023333333332,1745.2033333333334,43.4231,3044.8966666666665,112.60766666666666,2491.81,88.2641,0.058869199999999997,0.028255966666666667,1.47173,17.66,21.426666666666666,32.333333333333336,1459.4366666666667,-781.351,12586.933333333332,4,11.2,2.5477766666666666,3.9099133333333334,2524.648,1.683512,0.983665,6715.0633333333335,4.478716666666667,175.42566666666667,5452.013333333333,62.507400000000004,11568.68,96.2825,3006.4766666666665
32.2-6.10,6.10,2,het,10.611046666666667,0.0070740333333333336,0.004091765333333333,0.17685113333333333,2.557355,1.4666666666666668,3,407.63800000000003,-373.43399999999997,1549.8276666666668,0,0,0,0,2378.2766666666666,1.5855166666666667,0.6650656666666667,661.3853333333334,0.44092133333333333,18.36667,132.81626666666668,27.02283333333333,335.48466666666667,68.28683333333333,2327.3333333333335,67.59853333333334,0.04508136666666667,0.026085566666666667,1.127033,16.3035,14.906666666666666,27,1043.9246666666666,-1105.926,11568.633333333333,5,21.466666666666665,4.604443333333333,9.55282,1666.926,1.1114116666666667,1.253451,5004.543333333333,3.3375566666666665,138.63,5557.93,84.35253333333333,31115.003333333334,57.617266666666666,2886.6033333333335
32.2-6.10,6.10,5,het,12.66459,0.00845508,0.0035333033333333334,0.211377,2.2083166666666667,1.2666666666666666,2.6666666666666665,492.06166666666667,-507.13166666666666,1766.4166666666667,0.3333333333333333,2.3333333333333335,2.3333333333333335,0,2362.52,1.5757586666666668,0.4273876,896.5889999999999,0.5985683333333334,22.4617,400.8376666666667,45.3846,2782.6696666666667,48.63376,1660.9733333333334,51.7612,0.0345358,0.021404566666666666,0.863394,13.37786,7.693333333333333,13.333333333333334,1344.671,-1082.5503333333334,9984.466666666667,3,27.173333333333332,13.089766666666666,78.48942666666667,1580.9193333333333,1.0545229666666667,1.0505488,3777.353333333333,2.520243333333333,104.7026,2775.9533333333334,60.544533333333334,12396.49,118.18043333333334,2932.0499999999997
32.2-6.10,6.10,8,het,0.5609310000000001,3.7395433333333334e-4,7.85225e-5,0.009348863333333332,0.04907653333333333,0,0,91.25366666666666,-91.25366666666666,61.60293333333333,0,0,0,0,3838.3633333333332,2.55891,0.005323046666666667,12.690103333333333,0.008460066666666667,0.051397000000000005,0,0,0,60.10256666666667,930.4033333333333,19.22485,0.0128243,0.01186915,0.320607,7.4182500000000005,2.74,4.5,1010.3824999999999,-671.5395000000001,3647.965,1.5,7.82,6.61,0.1764,2707.8,1.8056549999999998,0.7892545,1141.29,0.761323,43.13625,271.0425,17.445549999999997,505.1114,81.6908,2665.4849999999997
32.2-6.10,6.10,11,het,7.782496666666667,0.005188343333333334,0.0026774566666666667,0.1297084,1.6734113333333334,0.7333333333333334,1.3333333333333333,411.94166666666666,-516.4876666666667,1688.1476666666667,0,0,0,0,3361.1600000000003,2.2407733333333333,0.09984003333333333,598.0922666666667,0.3987291666666667,18.504343333333335,751.8712666666668,128.27586666666667,26980.9702,52.04493333333333,2606.89,48.682566666666666,0.0324723,0.0147398,0.8118073333333333,9.212373333333334,6.28,13,833.309,-648.0223333333333,7650.41,2.3333333333333335,23.533333333333335,6.4644433333333335,72.9623,1546.057,1.0307210333333334,0.7588428333333334,3462.8566666666666,2.309823333333333,77.3371,2731.09,64.72413333333333,18585.51,48.04435333333333,3125.133333333333
33.2-6.10,6.10,2,het,3.33078,0.00222052,0.001124757,0.055513049999999994,0.7029725,0.74,1.5,426.6745,-426.6745,775.4665,0,0,0,0,2385.455,1.5903049999999999,0.016870444999999998,185.36849999999998,0.12357889999999999,4.12332,176.74715,176.74715,0,101.74125000000001,3159.13,23.0444,0.0153711,0.01202904,0.38427733333333336,7.5181466666666665,3.333333333333333,6.333333333333333,1201.1686666666667,-918.1976666666667,4510.086666666667,2,15.52,5.5155666666666665,107.8146,1512.1066666666666,1.0084666666666666,0.46400833333333336,1694.18,1.1300446666666666,53.7507,923.683,38.796166666666664,2938.713333333333,81.05146666666667,2656.213333333333
