fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,8,60.1299,1.00216,10.9419,11.4,23,658.76,-475.328,4,36.96,0.469853,0.758644,118.904,3.10729
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,9,146.144,2.43898,33.8787,28.88,19,1494.99,-816.914,0,0,3.07022,0.0626375,227.918,6.67044
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,10,41.7697,0.696162,7.74646,10.44,22,681.654,-554.538,0,0,2.57321,0.543244,58.6955,1.83567
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,11,20.1725,0.337558,4.09251,4.68,9,534.398,-479.08,1,20.72,1.22612,1.14043,40.4697,1.0134
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,12,85.3774,1.42296,37.7682,15.6,24,2519.04,-1552.01,3,6.76,1.83288,1.21137,153.771,3.39263
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,13,27.8067,0.463445,8.10695,5.04,4,1374.45,-1341.19,0,0,2.06029,0.741053,50.2732,1.29676
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,14,7.03349,0.117225,1.30731,1.52,2,439.374,-255.687,1,7.2,2.51313,0.888277,13.7145,0.325139
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,0,6.11387,0.10341500000000001,0.791409,0,0,331.373,-331.373,0,0,3.11478,0.00238834,14.0859,0.382094
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,1,4.01815,0.0669691,0.424948,0,0,205.7,-205.7,0,0,3.1032,2.06516e-4,6.42202,0.249379
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,2,3.01963,0.0503272,0.358925,0,0,345.717,-345.717,0,0,3.11389,2.96647e-4,5.17361,0.179209
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,4,2.13387,0.0355644,0.213375,0,0,195.848,-195.848,0,0,3.13251,7.37788e-4,4.116,0.145759
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,5,89.3353,1.48892,34.3445,14.12,17,1986.39,-799.778,6,19.6,1.58183,1.90073,227.829,4.03112
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,6,112.425,1.87626,31.2582,17.28,17,1227.87,-772.919,7,27.44,0.700344,1.25716,221.406,5.25394
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,7,100.112,1.66853,28.1149,12.4,13,891.182,-719.378,6,33.44,0.55789,0.86753,223.492,4.74301
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,8,81.688,1.36147,18.472,17.6,28,654.387,-679.133,6,25.64,0.964787,1.15279,184.422,4.03878
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,9,164.985,2.75343,54.9767,24.68,15,1608.31,-1424.66,4,8.96,2.38312,1.57816,253.001,6.65329
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,10,2.58736,0.0431226,0.253658,0,0,170.791,-157.774,0,0,1.86645,0.0316923,0.732998,0.0662131
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,11,0,0,0,0,0,0,0,0,0,2.06542,3.03824e-4,0,0
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,12,1.09162,0.0181937,0.0991933,0,0,144.496,-144.496,0,0,2.08989,0.00446361,0.321478,0.0271593
