"","fish_id","Genotype","Position","Trial","Tray","Bin","Distance_travelled","Velocity_mean","Velocity_var","Time_moving","Freq_moving","Acceleration_max","Acceleration_min","Acceleration_mean","Acceleration_var","Freq_in_middle","Time_in_middle","Dist_to_middle_total","Dist_to_middle_mean","Dist_to_middle_var","Mobility_total","Mobility_mean","Mobility_var"
"487",3,"hom","A3","9",1,"Start-0:05:00",6.08297,0.0203035,"0.0756982",0,0,82.6511,-82.6511,-3.16359e-18,"27.2618",0,0,8285.41,1.84243,"0.0232566",320.665,0.0713541,"1.07592"
"488",3,"hom","A3","9",1,"0:05:00-0:10:00",731.774,2.44032,"23.36",183.401,166,853.814,-637.046,-0.0209689,"7062.71",15,68.9307,8779.6,1.95146,"2.03114",44618,9.91953,"377.236"
"489",3,"hom","A3","9",1,"0:10:00-0:15:00",296.182,0.987709,"3.34046",78.8004,74,398.593,-203.071,2.52806e-17,"1060.61",1,0.269668,10443.4,2.32128,"0.0232646",21250.3,4.7244,"77.9767"
"490",3,"hom","A3","9",1,"0:15:00-0:20:00",293.516,0.978381,"8.47218",61.467,78,1170.68,-964.347,6.31594e-18,"2591.06",10,84.8004,5777.89,1.28398,"1.35274",18718.1,4.15959,"152.65"
"491",3,"hom","A3","9",1,"0:20:00-0:25:00",4.18367,0.0139517,"0.0490826",0,0,66.7201,-66.7201,0,"22.1795",0,0,13197.8,2.9335,"0.0152511",183.851,0.040874,"0.579984"
"492",3,"hom","A3","9",1,"0:25:00-0:30:00",286.689,0.956051,"6.81879",61.2003,84,369.585,-368.908,2.84407e-17,"1794.87",8,121.534,4890.92,1.08711,"1.45471",16562.3,3.68214,"132.013"
"493",4,"het","A4","9",1,"Start-0:05:00",1519.63,5.07219,"77.6277",219.333,39,1113.31,-848.224,0.0992029,"19914.5",7,71.0004,10445.3,2.32273,"1.90426",97291,21.6491,"940.996"
"494",4,"het","A4","9",1,"0:05:00-0:10:00",1061.77,3.54078,"35.8796",224.733,120,759.107,-698.22,-0.198534,"10191",17,38.4002,8840.63,1.96502,"1.08861",73086.1,16.2486,"628.6"
"495",4,"het","A4","9",1,"0:10:00-0:15:00",392.348,1.3084,"21.4052",54.6654,23,764,-595.133,-0.0187253,"4895.69",6,2.80001,11193.9,2.48808,"0.229944",24007.1,5.33729,"266.723"
"496",4,"het","A4","9",1,"0:15:00-0:20:00",1224.55,4.0818,"49.1583",221.333,111,958.939,-718.879,-0.0214676,"14268",16,50.6669,8550.24,1.90005,"1.30269",77682.3,17.2627,"655.085"
"497",4,"het","A4","9",1,"0:20:00-0:25:00",144.912,0.483254,"5.67399",14.3394,11,762.433,-637.485,-3.16007e-17,"1260.9",0,0,11231.1,2.49635,"0.0831271",8182.43,1.81913,"66.2214"
"498",4,"het","A4","9",1,"0:25:00-0:30:00",2089.99,6.96971,"106.147",249.526,60,1240.87,-1696.03,0.120723,"27720.9",21,19.9334,10958,2.43566,"0.984705",114700,25.5002,"889.123"
"499",5,"het","A5","9",1,"Start-0:05:00",1316.21,4.39322,"76.5552",222.666,136,2492.59,-2068.82,-1.45525e-16,"19905.7",10,14.0001,12789.6,2.84403,"0.807079",79531.1,17.6972,"859.948"
"500",5,"het","A5","9",1,"0:05:00-0:10:00",1191.27,3.97263,"43.8909",251.2,122,1050.97,-943.423,-0.0409552,"13957.2",20,31.2668,10673,2.37231,"1.51474",74027.3,16.4578,"635.638"
